Name of Licensee (English),Name of Licensee (Chinese),Branch Name (English),Branch Name (Chinese),Address (English only),Address Type (English),Address Type (Chinese),As at (Date)
"GOLDEN CREDIT INVESTMENT DEVELOPMENT (HK) CO., LIMITED",金信投資發展(香港)有限公司,GREAT LUCK MONEY EXCHANGE COMPANY,加旺找換公司,,Specified Premises,指明處所,29/11/2023
"GOLDEN CREDIT INVESTMENT DEVELOPMENT (HK) CO., LIMITED",金信投資發展(香港)有限公司,SUN HING GROUP EXCHANGE AND REMITTANCE COMPANY,新興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"GOLDEN CREDIT INVESTMENT DEVELOPMENT (HK) CO., LIMITED",金信投資發展(香港)有限公司,KA HING GROUP EXCHANGE AND REMITTANCE COMPANY,加興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
GOLDEN PARTY TRADING LIMITED,嘉金貿易有限公司,,,,Specified Premises,指明處所,29/11/2023
GOLDEN PARTY TRADING LIMITED,嘉金貿易有限公司,GOLDEN PARTY MONEY EXCHANGE,嘉金找換行,,Specified Premises,指明處所,29/11/2023
GOLDEN TRIPOD UNITED INTERNATIONAL COMPANY LIMITED,金鼎匯國際有限公司,DIN FUNG MONEY EXCHANGE AND REMITTANCE COMPANY,鼎豐貨幣找換匯款公司,,Specified Premises,指明處所,29/11/2023
GOOD DEVELOPMENT LIMITED TRADING AS TOKO BANG YAU,佳廣發展有限公司,TOKO BANG YAU,朋友東南亞食品店,,Specified Premises,指明處所,29/11/2023
GOOD DEVELOPMENT LIMITED TRADING AS TOKO BANG YAU,佳廣發展有限公司,TOKO BANG YAU,朋友東南亞食品店,,Specified Premises,指明處所,29/11/2023
GOOD DEVELOPMENT LIMITED TRADING AS TOKO BANG YAU,佳廣發展有限公司,BANG YAU,,,Specified Premises,指明處所,29/11/2023
GOOD DEVELOPMENT LIMITED TRADING AS TOKO BANG YAU,佳廣發展有限公司,CHANDRA,,,Specified Premises,指明處所,29/11/2023
GOOD DEVELOPMENT LIMITED TRADING AS TOKO BANG YAU,佳廣發展有限公司,CHANDRA,,,Specified Premises,指明處所,29/11/2023
GOOD YIELD DEVELOPMENT LIMITED,益廣發展有限公司,,,,Specified Premises,指明處所,29/11/2023
GOTAI HOLDINGS LIMITED TRADING AS 國泰找換,國泰找換錢有限公司,,,,Specified Premises,指明處所,29/11/2023
GPL REMITTANCE HONG KONG LIMITED,,GPL REMITTANCE HONG KONG LIMITED,,,Specified Premises,指明處所,29/11/2023
GRAND COME LIMITED,廣臨有限公司,GRAND COME MONEY EXCHANGE,廣臨找換,,Specified Premises,指明處所,29/11/2023
GRAND SUCCEED TRADING LIMITED TRADING AS HING LEE RENMINBI EXCHANGE COMPANY,浩慶貿易有限公司 營業名稱 鑫利人民幣找換行,HING LEE RENMINBI EXCHANGE COMPANY,鑫利人民幣找換行,,Specified Premises,指明處所,29/11/2023
GRAND SUCCEED TRADING LIMITED TRADING AS HING LEE RENMINBI EXCHANGE COMPANY,浩慶貿易有限公司 營業名稱 鑫利人民幣找換行,NEW NGAI CITY MONEY EXCHANGE,新藝城人民幣找換店,,Specified Premises,指明處所,29/11/2023
GRANDEUR RMS LIMITED,國睿匯通有限公司,,,,Correspondence Address,通訊地址,29/11/2023
GRANDRAY INTERNATIONAL LIMITED,鈞輝國際有限公司,,,,Specified Premises,指明處所,29/11/2023
GREAT WALL MONEY EXCHANGE LIMITED,長城兌換有限公司,WEALTHYOX EXCHANGE,富牛兌換,,Specified Premises,指明處所,29/11/2023
GREAT WALL MONEY EXCHANGE LIMITED,長城兌換有限公司,WEALTHYOX EXCHANGE,富牛兌換,,Specified Premises,指明處所,29/11/2023
GSI GLOBAL INVESTMENT & REMITTANCE LIMITED,翹沃環球投資及承兌 (匯款) 有限公司,,,,Specified Premises,指明處所,29/11/2023
HAC REMIT LIMITED,,MY EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HAC REMIT LIMITED,,MY EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HAC REMIT LIMITED,,MY MONEY EXCHANGE CO.,,,Specified Premises,指明處所,29/11/2023
HAC REMIT LIMITED,,MY MONEY EXCHANGE CO,,,Specified Premises,指明處所,29/11/2023
HAC REMIT LIMITED,,HELLO MONEY EXCHANGE CO.,,,Specified Premises,指明處所,29/11/2023
HADSUND INTERNATIONAL TECHNOLOGY LIMITED,恆新國際科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
HAI CLOUD EXCHANGE (HK) LIMITED,海雲匯(香港)有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"HAINA PAYMENT HK CO., LIMITED",海納支付香港有限公司,,,,Correspondence Address,通訊地址,29/11/2023
HALLOW KING LIMITED TRADING AS CHUNG TONG MONEY EXCHANGE,中通有限公司 營業名稱 中通兌換,,,,Specified Premises,指明處所,29/11/2023
HAMSATECH HONGKONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
HANG FUNG HONG EXCHANGE & REMITTANCE CO. LIMITED,恒豐行兌匯有限公司 營業名稱 恒豐人民幣找換行,,恒豐人民幣找換行,,Specified Premises,指明處所,29/11/2023
HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司,HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司,,Specified Premises,指明處所,29/11/2023
HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司,HANG FUNG GROUP EXCHANGE AND REMITTANCE COMPANY,恆豐集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司,HANG FUNG GROUP EXCHANGE AND REMITTANCE COMPANY,恆豐集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司,HANG FUNG GROUP EXCHANGE AND REMITTANCE COMAPNY,恒豐集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司,HANG FUNG GROUP EXCHANGE AND REMITTANCE COMPANY,恆豐集團找換公司,,Specified Premises,指明處所,29/11/2023
HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司,HING YIP GROUP EXCHANGE AND REMITTANCE COMPANY,興業集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司,HING YIP GROUP FOREIGN EXCHANGE COMPANY,興業集團外幣找換公司,,Specified Premises,指明處所,29/11/2023
HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司,HING YIP GROUP EXCHANGE AND REMITTANCE COMPANY,興業集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
HANG FUNG MONEY EXCHANGE COMPANY LIMITED,恒豐外幣滙款有限公司,HANG FUNG EXCHANGE AND REMITTANCE COMPANY,恆豐找換匯款公司,,Specified Premises,指明處所,29/11/2023
HANG SHUN MONEY EXCHANGE LIMITED,恆信找換店有限公司,HANG SHUN MONEY EXCHANGE LIMITED,恆信找換店有限公司,,Specified Premises,指明處所,29/11/2023
HARBOUR AND HILLS FINANCIAL SERVICES LIMITED,港山金融服務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
HARVEST SHARP LIMITED,盛焯有限公司,,,,Correspondence Address,通訊地址,29/11/2023
HATARI EXPRESS HOLDINGS LIMITED,,HATARI EXPRESS,,,Specified Premises,指明處所,29/11/2023
HAU KIN,侯健 營業名稱 兆億外幣兑換,,兆億外幣兑換,,Specified Premises,指明處所,29/11/2023
HENG TONG COMPANY,亨通找換,,,,Specified Premises,指明處所,29/11/2023
HENG TONG COMPANY,亨通找換,HENG TONG COMPANY,亨通找換,,Specified Premises,指明處所,29/11/2023
HENG WAI CURRENCY EXCHANGE LIMITED,興偉找換匯款有限公司,HENG WAI CURRENCY EXCHANGE LIMITED,興偉找換匯款有限公司,,Specified Premises,指明處所,29/11/2023
"HENGFENGDA TECHNOLOGY CO.,LIMITED",恒豐達科技有限公司,,,,Specified Premises,指明處所,29/11/2023
HEY YUEN LIMITED,熙源有限公司 營業名稱 熙源外幣找換店,,熙源外幣找換店,,Specified Premises,指明處所,29/11/2023
HK PT DEVELOPMENT HOLDING LIMITED TRADING AS PO TUNG HANG,香港寶通發展控股有限公司 營業名稱 寶通行,PO TUNG HANG,寶通行,,Specified Premises,指明處所,29/11/2023
HK PT DEVELOPMENT HOLDING LIMITED TRADING AS PO TUNG HANG,香港寶通發展控股有限公司 營業名稱 寶通行,PO WAN HANG,寶運行,,Specified Premises,指明處所,29/11/2023
HKWEALTH CAPITAL LIMITED,港富資本有限公司,,,,Specified Premises,指明處所,29/11/2023
HO MAN YI TRADING AS FLOURISHING INTERNATIONAL DEVELOPMENT CO.,何文義 營業名稱 豐盛國際發展公司,,,,Specified Premises,指明處所,29/11/2023
HO MING SHING TRADING AS CLOUDPOINT EXCHANGE,何銘誠 營業名稱 雲邦找換店,,,,Specified Premises,指明處所,29/11/2023
HO YAN LOK TRADING AS SUN SHING MONEY EXCHANGE,何昕諾 營業名稱 新城找換店,,,,Specified Premises,指明處所,29/11/2023
HO YAN LOK TRADING AS SUN SHING MONEY EXCHANGE,何昕諾 營業名稱 新城找換店,SUN SHING MONEY EXCHANGE,新城找換店,,Specified Premises,指明處所,29/11/2023
HO YAN LOK TRADING AS SUN SHING MONEY EXCHANGE,何昕諾 營業名稱 新城找換店,SUN SHING MONEY EXCHANGE,新城找換店,,Specified Premises,指明處所,29/11/2023
HO YAN LOK TRADING AS SUN SHING MONEY EXCHANGE,何昕諾 營業名稱 新城找換店,SUN SHING MONEY EXCHANGE,新城找換店,,Specified Premises,指明處所,29/11/2023
HO YAN LOK TRADING AS SUN SHING MONEY EXCHANGE,何昕諾 營業名稱 新城找換店,SUN SHING MONEY EXCHANGE,新城找換店,,Specified Premises,指明處所,29/11/2023
HOI WANG INVESTMENT TRADING LIMITED TRADING AS CHUNG YING REMINBI EXCHANGE CO.,凱宏投資貿易有限公司 營業名稱 中英人民幣找換行,CHUNG YING REMINBI EXCHANGE CO.,中英人民幣找換行,,Specified Premises,指明處所,29/11/2023
HOI WANG INVESTMENT TRADING LIMITED TRADING AS CHUNG YING REMINBI EXCHANGE CO.,凱宏投資貿易有限公司 營業名稱 中英人民幣找換行,CHUNG YING REMINBI EXCHANGE CO.,中英人民幣找換行,,Specified Premises,指明處所,29/11/2023
HOI WANG INVESTMENT TRADING LIMITED TRADING AS CHUNG YING REMINBI EXCHANGE CO.,凱宏投資貿易有限公司 營業名稱 中英人民幣找換行,CHUNG YING REMINBI EXCHANGE CO.,中英人民幣找換行,,Specified Premises,指明處所,29/11/2023
HON OI HING TRADING AS KAM WAN LOI ( RENMINBI EXCHANGE ),韓愛卿 營業名稱 金運來人民幣找換行,KAM WAN LOI RENMINBI EXCHANGE,金運來人民幣找換行,,Specified Premises,指明處所,29/11/2023
HON OI HING TRADING AS KAM WAN LOI ( RENMINBI EXCHANGE ),韓愛卿 營業名稱 金運來人民幣找換行,KAM WAN LOI ( RENMINBI EXCHANGE ),金運來人民幣找換行,,Specified Premises,指明處所,29/11/2023
HON OI HING TRADING AS KAM WAN LOI ( RENMINBI EXCHANGE ),韓愛卿 營業名稱 金運來人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
HON OI HING TRADING AS KAM WAN LOI ( RENMINBI EXCHANGE ),韓愛卿 營業名稱 金運來人民幣找換行,KAM WAN LOI RENMINBI EXCHANGE,金運來人民幣找換行,,Specified Premises,指明處所,29/11/2023
HONEST LINK (HK) TRADING LIMITED TRADING AS HONEST LINK MONEY EXCHANGE,香港聯信貿易有限公司 營業名稱 聯信貨幣兌換,HONEST LINK MONEY EXCHANGE,聯信貨幣兌換,,Specified Premises,指明處所,29/11/2023
HONG KONG CROSS-BORDER FOREIGN EXCHANGE TECHNOLOGY LIMITED,香港跨境外幣兌換科技有限公司,HONG KONG CROSS-BORDER FOREIGN EXCHANGE TECHNOLOGY LIMITED,香港跨境外幣兌換科技有限公司,,Specified Premises,指明處所,29/11/2023
HONG KONG CROSS-BORDER FOREIGN EXCHANGE TECHNOLOGY LIMITED,香港跨境外幣兌換科技有限公司,HONG KONG EXCHANGE,中港滙,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG EXCHANGE,,HONG KONG EXCHANGE,,,Specified Premises,指明處所,29/11/2023
HONG KONG FOREX LIMITED,,,,,Specified Premises,指明處所,29/11/2023
HONG KONG MOBILE PAYMENT SERVICE COMPANY LIMITED,香港移動支付服務有限公司,,,,Correspondence Address,通訊地址,29/11/2023
HONG KONG MONEY EXCHANGE LIMITED,信 亨(找 換)有 限 公 司,,,,Specified Premises,指明處所,29/11/2023
"HONG KONG YUAN YU DIGITS TECHNOLOGY CO., LIMITED",元宇數科有限公司,,,,Correspondence Address,通訊地址,29/11/2023
HONGKONG FORTUNETECH LIMITED,香港容融科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"HONGKONG FORWELL NETWORK TECHNOLOGY CO., LIMITED",香港富匯網絡科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
HONGKONG RUNDING INDUSTRY DEVELOPMENT GROUP LIMITED,香港潤鼎實業發展集團有限公司,,,,Specified Premises,指明處所,29/11/2023
"HONGKONG YIXINTONG TRADING CO., LIMITED",香港益信通貿易有限公司,,,,Correspondence Address,通訊地址,29/11/2023
HOO JACKSON TRADING AS SHING KEE SOUTH EAST ASIA FOOD,何德成 營業名稱 成記東南亞食品,,,,Specified Premises,指明處所,29/11/2023
HORUS DIGITAL LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
"HSD INVESTMENT MANAGEMENT (HK) CO., LIMITED",興盛達投資管理(香港)有限公司,HING YIP EXCHANGE AND REMITTANCE COMPANY,興業找換匯款公司,,Specified Premises,指明處所,29/11/2023
"HSD INVESTMENT MANAGEMENT (HK) CO., LIMITED",興盛達投資管理(香港)有限公司,HING YIP GROUP EXCHANGE AND REMITTANCE COMPANY,興業集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"HSD INVESTMENT MANAGEMENT (HK) CO., LIMITED",興盛達投資管理(香港)有限公司,SAM HING HONG MONEY EXCHANGE AND REMITTANCE COMPANY,三興行找換匯款公司,,Specified Premises,指明處所,29/11/2023
"HSD INVESTMENT MANAGEMENT (HK) CO., LIMITED",興盛達投資管理(香港)有限公司,HANG FUNG GROUP EXCHANGE AND REMITTANCE COMPANY,恆豐集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"HSD INVESTMENT MANAGEMENT (HK) CO., LIMITED",興盛達投資管理(香港)有限公司,WING FU GROUP EXCHANGE AND REMITTANCE COMPANY,永富集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"HSD INVESTMENT MANAGEMENT (HK) CO., LIMITED",興盛達投資管理(香港)有限公司,TAI ON GROUP FOREIGN REMITTANCE COMPANY,泰安集團外幣找換匯款公司,,Specified Premises,指明處所,29/11/2023
"HSD INVESTMENT MANAGEMENT (HK) CO., LIMITED",興盛達投資管理(香港)有限公司,SUN HING GROUP EXCHANGE AND REMITTANCE COMPANY,新興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
HUGE LUCK APAC LIMITED TRADING AS HANG TONG MONEY EXCHANGE,鴻利亞太有限公司 營業名稱 亨通兌換,HANG TONG MONEY EXCHANGE,亨通兌換,,Specified Premises,指明處所,29/11/2023
HUI'S BROTHERS CURRENCY EXCHANGE GROUP HOLDINGS LIMITED,許氏兄弟找換集團控股有限公司,HB EXCHANGE GROUP COMPANY,,,Specified Premises,指明處所,29/11/2023
HUITONG TRADING (HONG KONG) LIMITED TRADING AS HUITONG MONEY EXCHANGE,滙通貿易(香港)有限公司 營業名稱 匯通找換,HUITONG MONEY EXCHANGE,匯通找換,,Specified Premises,指明處所,29/11/2023
HUNG LAP EXCHANGE COMPANY LIMITED,鴻立找換有限公司,,,,Specified Premises,指明處所,29/11/2023
IC-EX LIMITED TRADING AS IC MONEY EXCHANGE,工商企業有限公司 營業名稱 工商找換匯款專門店,IC MONEY EXCHANGE,工商找換匯款專門店,,Specified Premises,指明處所,29/11/2023
IC-EX LIMITED TRADING AS IC MONEY EXCHANGE,工商企業有限公司 營業名稱 工商找換匯款專門店,IC MONEY EXCHANGE,工商找換匯款專門店,,Specified Premises,指明處所,29/11/2023
IC-EX LIMITED TRADING AS IC MONEY EXCHANGE,工商企業有限公司 營業名稱 工商找換匯款專門店,LI YUEN EXCHANGE SHOP,利源人民幣找換行,,Specified Premises,指明處所,29/11/2023
IC-EX LIMITED TRADING AS IC MONEY EXCHANGE,工商企業有限公司 營業名稱 工商找換匯款專門店,CHINA MONEY EXCHANGE,中華找換匯款專門店,,Specified Premises,指明處所,29/11/2023
IFLARE HONG KONG LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
INTER TREASURE WORLD LIMITED TRADING AS TAT SHUN MONEY EXCHANGE,國際寶滙有限公司 營業名稱 達信找換店,TAT SHUN MONEY EXCHANGE,達信找換店,,Specified Premises,指明處所,29/11/2023
INTERNATIONAL MARKETING GROUP (HONG KONG) LIMITED,,,,,Specified Premises,指明處所,29/11/2023
INTERNATIONAL REPUTATION LIMITED,國際進譽有限公司,CITY EXPRESS MONEY EXCHANGE,進城貨幣兌換店,,Specified Premises,指明處所,29/11/2023
INWARD RISE INTERNATIONAL LIMITED,雋昇國際有限公司,,,,Specified Premises,指明處所,29/11/2023
IP WAI FAN TRADING AS FAMOUS EXCHANGE,葉慧芬,,,,Specified Premises,指明處所,29/11/2023
IP WAI FAN TRADING AS FAMOUS EXCHANGE,葉慧芬,FAMOUS EXCHANGE,,,Specified Premises,指明處所,29/11/2023
IP WAI FAN TRADING AS FAMOUS EXCHANGE,葉慧芬,FAMOUS EXCHANGE,,,Specified Premises,指明處所,29/11/2023
IP WAI HONG TRADING AS SUMBER REJEKI,葉惠康,,,,Specified Premises,指明處所,29/11/2023
IPAYLINKS LIMITED,香港人人匯科技有限公司,,,,Correspondence Address,通訊地址,29/11/2023
IU CHI NING TRADING AS CHUNG SHING MONEY EXCHANGE HONG,姚志寧 營業名稱 中盛人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
JAGOLINK LIMITED,杰滙有限公司,,,,Correspondence Address,通訊地址,29/11/2023
JARGON ASIA LIMITED,,,,,Specified Premises,指明處所,29/11/2023
JARGON ASIA LIMITED,,JARGON FOREIGN EXCHANGE,,,Specified Premises,指明處所,29/11/2023
JD FINTECH INSIGHT (HONG KONG) LIMITED,京東金控茵賽(香港)有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"JD INVESTMENT (HK) CO., LIMITED",昭德投資(香港)有限公司,WING FU EXCHANGE AND REMITTANCE COMPANY,永富找換匯款公司,,Specified Premises,指明處所,29/11/2023
"JD INVESTMENT (HK) CO., LIMITED",昭德投資(香港)有限公司,HING YIP GROUP EXCHANGE AND REMITTANCE COMPANY,興業集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
"JD INVESTMENT (HK) CO., LIMITED",昭德投資(香港)有限公司,SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,三興行找換匯款公司,,Specified Premises,指明處所,29/11/2023
"JD INVESTMENT (HK) CO., LIMITED",昭德投資(香港)有限公司,SAM HING HONG EXCHANGE AND REMITTANCE COMPANY,三興行找換匯款公司,,Specified Premises,指明處所,29/11/2023
"JD INVESTMENT (HK) CO., LIMITED",昭德投資(香港)有限公司,CASSON HONG EXCHANGE COMPANY,加誠行找換公司,,Specified Premises,指明處所,29/11/2023
"JD INVESTMENT (HK) CO., LIMITED",昭德投資(香港)有限公司,KA HING GROUP EXCHANGE AND REMITTANCE COMPANY,加興集團找換匯款公司,,Specified Premises,指明處所,29/11/2023
JEM LEI DAT CO,鑫利達公司,,,,Specified Premises,指明處所,29/11/2023
JEM LEI DAT CO,鑫利達公司,JEM LEI DAT,鑫利達行,,Specified Premises,指明處所,29/11/2023
JI XIANG EXCHANGE REMITTANCE LIMITED,吉祥找換匯款有限公司,JI XIANG EXCHANGE REMITTANCE,吉祥找換匯款,,Specified Premises,指明處所,29/11/2023
JI XIANG EXCHANGE REMITTANCE LIMITED,吉祥找換匯款有限公司,JI XIANG EXCHANGE REMITTANCE,吉祥找換匯款,,Specified Premises,指明處所,29/11/2023
JILLION GROUP INTERNATIONAL TRADING LIMITED TRADING AS JILLION FOREX,億豐集團貿易有限公司 營業名稱 億豐找換,JILLION FOREX,億豐找換,,Specified Premises,指明處所,29/11/2023
JOINT PROFIT INC LIMITED,駿利行有限公司,,,,Specified Premises,指明處所,29/11/2023
JOYFUL BILLION LIMITED,,DANIEL MONEY EXCHANGE,金堅人民幣國際找換店,,Specified Premises,指明處所,29/11/2023
JPAY PAYMENT LIMITED,錦付支付有限公司,,,,Correspondence Address,通訊地址,29/11/2023
KA SHUN LIMITED TRADING AS KA SHUN,嘉順找換有限公司 營業名稱 嘉順找換,KA SHUN,嘉順找換,,Specified Premises,指明處所,29/11/2023
KA WAN MONEY EXCHANGE COMPANY LIMITED,嘉運兌換有限公司 營業名稱 嘉運兌換店,,嘉運兌換店,,Specified Premises,指明處所,29/11/2023
KA YING RMB EXCHANGE CO.,嘉盈人民幣找換店,,,,Specified Premises,指明處所,29/11/2023
KAM FUNG (SINO) MONEY EXCHANGE LIMITED,金豐兌換(中港)有限公司,,,,Specified Premises,指明處所,29/11/2023
KAS GROUP LIMITED,嘉盛集團有限公司,,嘉盛,,Specified Premises,指明處所,29/11/2023
KAS GROUP LIMITED,嘉盛集團有限公司,,安順找換,,Specified Premises,指明處所,29/11/2023
KAS GROUP LIMITED,嘉盛集團有限公司,,大利找換,,Specified Premises,指明處所,29/11/2023
KAYARAYA LIMITED,豐家有限公司,,,,Specified Premises,指明處所,29/11/2023
KAYARAYA LIMITED,豐家有限公司,KAYARAYA,豐家,,Specified Premises,指明處所,29/11/2023
KAYARAYA LIMITED,豐家有限公司,KAYARAYA LIMITED,豐家有限公司,,Specified Premises,指明處所,29/11/2023
KAYARAYA LIMITED,豐家有限公司,KAYARAYA LIMITED,豐家有限公司,,Specified Premises,指明處所,29/11/2023
KAYARAYA LIMITED,豐家有限公司,TOKO SRIKANDI,印豪印尼商店,,Specified Premises,指明處所,29/11/2023
KAYARAYA LIMITED,豐家有限公司,KAYARAYA LIMITED,豐家有限公司,,Specified Premises,指明處所,29/11/2023
KENNEDY TERENCE ALBERT TRADING AS CHUEN SHING FOREIGN EXCHANGE REMITTANCE CO,艾文倫 營業名稱 中盛外幣找換滙款公司,,,,Specified Premises,指明處所,29/11/2023
KENNEDY TERENCE ALBERT TRADING AS CHUEN SHING FOREIGN EXCHANGE REMITTANCE CO,艾文倫 營業名稱 中盛外幣找換滙款公司,CHUEN SHING FOREIGN EXCHANGE REMITTANCE CO,中盛外幣找換滙款公司,,Specified Premises,指明處所,29/11/2023
KEY POWER INTERNATIONAL INVESTMENT LIMITED TRADING AS KEY POWER FOREIGN EXCHANGE,啟能國際投資有限公司 營業名稱 啟能找換店,KEY POWER FOREIGN EXCHANGE,啟能找換店,,Specified Premises,指明處所,29/11/2023
KEY POWER INTERNATIONAL INVESTMENT LIMITED TRADING AS KEY POWER FOREIGN EXCHANGE,啟能國際投資有限公司 營業名稱 啟能找換店,CURRENCY EXCHANGE KEY POWER,,,Specified Premises,指明處所,29/11/2023
KEY POWER INTERNATIONAL INVESTMENT LIMITED TRADING AS KEY POWER FOREIGN EXCHANGE,啟能國際投資有限公司 營業名稱 啟能找換店,KEY POWER FOREIGN EXCHANGE,啟能找換店,,Specified Premises,指明處所,29/11/2023
S & S ENTERPRISES CO.,興亞企業公司,,,,Specified Premises,指明處所,29/11/2023
SAI YAU KEE WORLDWIDE COMPANY LIMITED,西遊記環球有限公司 營業名稱 西遊記,,,,Specified Premises,指明處所,29/11/2023
SAI YAU KEE WORLDWIDE COMPANY LIMITED,西遊記環球有限公司 營業名稱 西遊記,,西遊記,,Specified Premises,指明處所,29/11/2023
SANG SANG MONEY EXCHANGE LIMITED,生生外幣找換有限公司,,,,Specified Premises,指明處所,29/11/2023
"SANGUYO, ELENA P. TRADING AS MABUHAY TRADING COMPANY",歡迎貿易公司,,,,Specified Premises,指明處所,29/11/2023
SEA LAKE MONEY EXCHANGE LIMITED,海湖找換有限公司,,,,Specified Premises,指明處所,29/11/2023
SECRET RISE ELECTRONIC TECHNOLOGY LIMITED TRADING AS XIN BAO EXCHANGE,鴻升電子科技有限公司 營業名稱 信保找換,XIN BAO EXCHANGE,信保找換,,Specified Premises,指明處所,29/11/2023
SHAE INTERNATIONAL LIMITED,,,,,Specified Premises,指明處所,29/11/2023
SHAN ZHI ASIA LIMITED,善枝亞洲有限公司,,,,Correspondence Address,通訊地址,29/11/2023
"SHANGHAI EBPP INFORMATION SERVICE (HONGKONG) CO., LIMITED",上海付費通信息服務(香港)有限公司 營業名稱 付費通跨境支付,,,,Correspondence Address,通訊地址,29/11/2023
SHEEN INTERNATIONAL LIMITED,信來國際有限公司,,,,Correspondence Address,通訊地址,29/11/2023
SHEN BINGJUN TRADING AS SHUN FAT RMB EXCHANGE SHOP,沈冰君 營業名稱 順發人民幣找換行,,,,Specified Premises,指明處所,29/11/2023
SHENGPAY ETRANSFER (HK) LIMITED,,,,,Correspondence Address,通訊地址,29/11/2023
SHING FENG MONEY EXCHANGE COMPANY LIMITED,盛豐外幣找換有限公司,SHING FENG MONEY EXCHANGE COMPANY LIMITED,盛豐外幣找換有限公司,,Specified Premises,指明處所,29/11/2023
SHING KEE MONEY EXCHANGE LIMITED,成記找換有限公司,,,,Specified Premises,指明處所,29/11/2023
SHING KEE MONEY EXCHANGE LIMITED,成記找換有限公司,SHING KEE MONEY EXCHANGE LIMITED,成記找換有限公司,,Specified Premises,指明處所,29/11/2023
SHOPLINE PAYMENTS LIMITED TRADING AS SHOPLINE,,,,,Correspondence Address,通訊地址,29/11/2023
