Period,MLR_No,Licensee_Name_Eng,Licensee_Name_Chi,Hotline,Third_Party_Eng,Third_Party_Chi,Third_Party_Addr_Eng,Third_Party_Addr_Chi,Reg_Date
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,Ho Sun Mortgage Solutions Limited ,昊陽信貸策劃有限公司,"Rm D, 12/F, Grandion Plaza, 932 Cheung Sha Wan Road, Kowloon",,1/12/2016
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,GL BUSINESS CONSULTANCY LIMITED ,計霖工商顧問有限公司,"Flat M, 17/F, Universal Industrial Centre, 19-25 Shan Mei Street, Fotan, NT.",,1/12/2016
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,TRUE UNION CONSULTANTS LIMITED ,信聯顧問有限公司,"Flat/Rm 2206, 22/F, Apec Plaza, 49 Hoi Yuen Road, Kwun Tong, Kowloon.",,1/12/2016
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,MY Accounting Services Limited ,萬誼會計事務有限公司,"Rm 1618, Level 16, Tower 1 Metroplaza, 223 Hing Fong Road, Kwai Ching, NT",,6/12/2016
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,HONG KONG GOLDEN EXPRESS LIMITED ,香港金捷有限公司,"FLAT/RM 106, 4/F, MAIDSTONE ROAD, TOKWAWAN, KLN",,23/2/2017
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,PACIFIC SMART CONSULTANTS LIMITED ,順利顧問有限公司,"FLAT/RM 1602, 16/F, EVRPOFIT COMMERCIAL BUILDING, 36 KO SHING STREET, SHEUNG WAN",,8/3/2017
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,Y & S CONSULTANT COMPANY ,日丰咨詢公司,"Flat/Rm 1323, Heng Yat Hse., Heng On Est., Ma On Shan",,11/4/2017
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,927 Property Agency Limited ,927地產代理有限公司,"FLAT/RM 1101, 11/F, TOWER 1 CHEUNG SHA WAN PLAZA, 833 CHEUNG SHA WAN ROAD, LAI CHI KOK, KOWLOON",,6/6/2017
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,On Fu Consultant Company,安富顧問公司,"20/F, WELLABLE COMMERCIAL BLDG, 513 HENNESSY RD, CAUSEWAY BAY",,20/2/2018
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,SY PROFESSIONAL SERVICE COMPANY LIMITED ,誠因服務有限公司,"Room 1801, 18/F., Rykadan Capital Tower, 135 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong",,3/4/2019
As at 12:00 noon of 3 January 2022 ,3146,Golden Fields Finance Limited,金田財務有限公司,2894 9222,KEYMAX INTERNATIONAL DEVELOPMENT LIMITED ,啓盛國際發展有限公司,"Shop C, G/F, No.55 Shek Kip Mei Street, Kowloon",,9/6/2020
As at 12:00 noon of 3 January 2022 ,5940,Golden Grade Finance Company Limited,金富貸信貸有限公司,2653 3382 / 2653 3068,Sankala Assets Consulting Limited ,山旮旯資產顧問有限公司,SHOP 64 1/F HOUSTON CENTRE 63 MODY ROAD TSIM SHA TSUI KOWLOON,,6/7/2021
As at 12:00 noon of 3 January 2022 ,5696,Golden Hill Credit Limited ,金山信貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,4392,Golden Jade Finance Limited,金瑜財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5926,Golden Leasing Limited,金利信有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5703,Golden Maximum Finance Limited,金高峰財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,3520,Golden Noble Finance Limited,金葉財務有限公司,3101 9308,Davisons Consulting Limited ,戴維信顧問有限公司,"Flat 1405, 14/F, AXA Centre, No. 151 Gloucester Road, Wan Chai, HK",,1/12/2016
As at 12:00 noon of 3 January 2022 ,4321,Golden Ocean (852) Limited,鋐澤(香港)有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,3440,Golden Phoenix Finance Limited,金鳳凰融資財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,4108,Golden Power Credit Finance Co. Limited,金力信貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5314,Golden Prospect Finance Limited,金興財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5978,Golden Return Finance Limited,金禾財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5918,Golden Rich Credit Limited,金利達信貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,4203,Golden Rich Finance Limited,金裕富財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,3451,Golden Rich Million Limited,金富萬有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5152,Golden Sands Credit Limited,金沙信貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,5672,Golden Sky Finance Limited,天堃金匯有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,3958,Golden Tonn Finance Limited,金敦信貸有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,4167,Golden Treasure Finance Limited,金寶財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,3423,Golden Wayford Limited,金威豐有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,4196,Golden Wheel Capital Limited,金輪資本有限公司,3584 8425,CHONG Mei Chu Margaret,,"FT D, 7/F, MANDARIN GARDEN, 12 MAN FUK ROAD, HO MAN TIN, KLN, HK",,17/5/2017
As at 12:00 noon of 3 January 2022 ,4819,Golden Yield Finance Limited,金耀財務有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,1432,Gold-Face Finance Limited,均來財務有限公司,2851 9021 /2545 3298,LAM TING FUNG ANDY,林霆鋒,"Flat B, 7/F, Block 2, Site 3, Whampoa Garden,Hunghom, Kowloon, Hong Kong",,24/1/2019
As at 12:00 noon of 3 January 2022 ,1432,Gold-Face Finance Limited,均來財務有限公司,2851 9021,CHAU WAI HING,,"FLAT B, 4/F, CHEUNG PAK MANSION, PARK VALE QUARRY BAY, HK",,15/5/2019
As at 12:00 noon of 3 January 2022 ,5610,Goldlion Investment Company Limited ,金獅管理有限公司,-,-,,-,,-
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,EA Consultant Co. ,歐亞賬務顧問公司,,九龍尖沙咀厚福街3號華博商業大廈6/F 603室,1/12/2016
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,HONG KONG GOLDEN EXPRESS LIMITED ,香港金捷有限公司,Flat/Rm 106 4/F Maidstone Road Tokwawan Kowloon,,1/12/2016
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,SY PROFESSIONAL SERVICE COMPANY LIMITED ,誠因服務有限公司,"Room 1801, 18/F., Rykadan Capital Tower, 135 Hoi Bun Road, Kwun Tong, Kowloon, HK",,1/12/2016
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Tsang Fuk Chuen Henry,曾福全,"Flat 516, 5/F, Yan Tin House, Hing Tin Estate, Lam Tin, Kowloon",,8/12/2016
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,PROFESSIONAL INFORMATION CENTRE (HK) LIMITED ,專業資訊中心(香港)有限公司,"Unit A-E, 23/F, Billion Plaza 2, No. 10 Cheung Yue Street, Cheung Sha Wan, Kowloon, Hong Kong",,5/1/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Vigor Mortgage Consultancy Limited ,優越按揭顧問有限公司,"Flat 1110, 11/F, HSH Mongkok Plaza, No. 794-802 Nathan Road, Kowloon",,5/1/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Great Country Property Management Company,大國資產管理公司,"1/F, 46 Johnston Road, Wanchai, HK",,21/3/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,HONG KONG RELIANCE ACCOUNTING AFFAIRS LIMITED ,中信(香港)會計事務所有限公司,"FLAT/RM 103, PARK TOWER, 15 AUSTIN ROAD, KLN",,12/4/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,HANG SHUN ACCOUNTING AFFAIRS LIMITED ,恒信會計事務所有限公司,"FLAT/RM 1613A, 16/F, MIRAMAR TOWER, 132 NATHAN ROAD, TST",,8/8/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,PROFESSIONAL INFORMATION CENTER (HK) COMPANY,專業資訊中心(香港)公司,,九龍長沙灣長裕街10號億京廣場2期23樓A-E室,8/8/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,TRUSTY CENTURY LIMITED ,信用世紀有限公司,FLAT/RM 1101 11/F GINZA PLAZA NO.2A SAI YEUNG CHOI STREET SOUTH KL,,8/8/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,3701 3333,ALL PROFIT (ASIA) COMPANY,全利(亞洲)公司,,九龍尖沙咀山林道46-48號運通商業大廈一樓24號舖,9/8/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,AKA STRATEGIC PLANNING LIMITED ,一嘉諮詢策劃有限公司,,九龍旺角亞皆老街8號朗豪坊辦公大樓26樓2611室,18/8/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Kapital Oasis Management Limited ,博達策劃管理有限公司,FLAT/RM E 5/F CNT TOWER 338 HENNESSY ROAD WANCHAI,,18/8/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Competence Mortgage Consultancy Limited ,實力按揭顧問有限公司,FLAT/RM 02 18/F KOWLOON BUILDING 555 NATHAN ROAD YAU MA TEI KL,,5/9/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Manulax Trading Limited ,宏方貿易有限公司,"FLAT E, 7/F, SOUTHTEX BLDG, NO.51 TSUN YIP STREET, KWUN TONG, HK",,26/9/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Ho Sun Mortgage Solutions Limited ,昊陽信貸策劃有限公司,FLAT/ RM 701 STERLING CENTRE 11 CHEUNG YUE STREET CHEUNG SHA WAN,,9/10/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Better Life International Limited ,比達國際有限公司,"RM202 2/F, MEI TUNG HSE, MEI TUNG EST, KOWLOON CITY, HONG KONG ",,9/10/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,GL BUSINESS CONSULTANCY LIMITED ,計霖工商顧問有限公司,"FLAT/RM M, 17/F, UNIVERSAL IND CTR, 19-25 SHAN MEI ST, FOTAN N.T.",,17/10/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,EXTRA LIMITED,,FLAT /RM 2202 22/F TRENDY CENTRE 682 CASTLE PEAK ROAD CHEUNG SHA WAN KL,,17/10/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,LAW'S ACCOUNTING CO.,羅氏會計事務所,"FLAT/RM 2611, OFFICE TOWER LANGHAM PLACE 8 ARGYLE STREET MONG KOK",,25/10/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,CREATIVE IDEOLOGY PROPERTY AGENCY LIMITED ,創維物業代理有限公司,FLAT/RM 07-08 4/F HING YIP COMMERCIAL CENTRE 272-284 DES VOEUX ROAD CENTRAL SHEUNG WAN HK,,6/11/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Feng Ming Global Int'l Company Limited ,豐明環球國際有限公司,FLAT/RM 606 6/F AUSTIN TOWER PHASE 1 NOS 152-152A AUSTIN ROAD & NOS 22-26A AUSTIN AVENUE KL,,8/11/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,GOLDEN REVENUE REFERRAL AGENT COMPANY,金利按揭轉介公司,,九龍旺角亞皆老街16號旺角商業大廈21樓2104室,9/11/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,YIM KAR MING,嚴嘉銘,"RM 1811, TIN MING HSE, TIN PING EST, SHEUNG SHUI, NT",,21/11/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,SINCERE INTERNATIONAL CONSULTANTS LIMITED ,柏鍵國際顧問有限公司,FLAT/RM 502A 5/F MARY BUILDING 71-77 PEKING ROAD TSIM SHA TSUI KL,,21/11/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Professional Mortgage Referral Co. ,匯信物業按揭轉介,,香港荃灣沙咀道362號全發商業大廈19樓09室,5/12/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,PACIFIC SMART CONSULTANTS LIMITED ,順利顧問有限公司,"FLAT/RM 1602, 16/F., EVERPROFIT COMMERCIAL BUILDING, 36 KO SHING STREET, SHEUNG WAN",,14/12/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Fantastic Carnival Company Limited ,反斗星嘉年華有限公司,"UNIT 813, 8/F SUI YING IND BLDG 1 YUK YAT ST 41 LOK SHAN RD TO KWA WAN KL",,22/12/2017
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Business Solutions Service Limited ,浤基商務香港有限公司,FLAT/RM 5 7/F HIP KWAN COM'L BLDG 38 PITT ST YAU MA TEI KL,,3/1/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,EAST LUCK CONSULTANTS LIMITED ,東裕顧問有限公司,FLAT/RM 1811 18/F FORTUNE COMMERCIAL BUILDING 362 SHA TSUI ROAD TSUEN WAN NT,,26/1/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Lokson Sumptuous Asset Limited ,諾信豐盛資產有限公司,FLAT/RM B 1/F 133-135 KWAI LAM STREET SHUMSHUIPO KL,,26/1/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Cheng Wing Yan,鄭詠恩,FLAT D 3/F BLK B GRANDVIEW GDN 71 PAU CHUNG ST TO KWA WAN KLN,,29/1/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Lam Chun Yu,林震宇,ROOM A 67A 6/F CHUNG SHUN BUILDING 67 SHANTUNG STREET MONGKOK KLN,九龍旺角山東街67A號忠信大廈6/F 67A室A房,30/1/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,MARLBO CONSULTANCY & ACCOUNTING COMPANY LIMITED ,萬寶顧問及會計有限公司,,九龍長沙灣永康街77號環薈中心11樓9室,1/2/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,EIGHTY DEVELOPMENT COMPANY,捌十發展公司,FLAT/RM 04 07/F HO KING COMMERCIAL CENTRE 2-16 FA YUEN STREET MONG KOK KL,,5/2/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,SMART FINANCIAL CONSULTANTS LIMITED ,財駿理財顧問有限公司,FLAT/RM C 18/F HARVARD COMMERCIAL BUILDING 105 THOMSON ROAD WANCHAI HK,,22/2/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,MYCHOICES MORTGAGE SOLUTIONS (HK) LIMITED ,焯檢信貸策劃有限公司,"FLAT/RM 02-03, 26/F, BEA TOWER, MILLENNIUM CITY 5, 418 KWUN TONG ROAD, KWUN TONG KL",,22/2/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Hoi Tin International Planning Co. Limited ,愷天國際策劃有限公司,ROOM 2512 LANGHAM PLACE OFFICE TOWER 8 ARGYLE STREET MONGKOK KL,,6/3/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Huntington Family Group Limited ,恆地集團有限公司,,香港九龍長沙灣大南西街615-617號百福工業大廈4樓06室,26/3/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Fung Kin Wai,馮健威,RM 1120 11/F PH 2 UN CHI HSE UN CHAU EST CHEUNG SHA WAN KLN,,9/4/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Tang Tat Commercial Limited ,騰達商業有限公司,"Unit C, 4/F, China Insurance Bldg., 48 Cameron Road, Tsim Sha Tsui, Kowloon, Hong Kong",,18/4/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Free Mortgage Referral Brokerage Limited ,免費按揭轉介經紀有限公司,RM 19 7/F BLOCK B NEW MANDARIN PLAZA 14 SCIENCE MUSEUM ROAD TSIM SHA TSUI HK,,15/5/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,NET EXPRESS LIMITED ,網通有限公司,"FLAT/RM 1, BLK D, 07/F, MERLIN CTR, 65 PO ON ROAD, CHEUNG SHA WAN, KL.",,13/7/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Premier Financial Limited ,優越信貸有限公司,UNIT 02 11/F BRIGHT WAY TOWER NO.33 MONG KOK ROAD KLN,,11/9/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,UNITRUTH CORPORATE CONSULTANT FIRM,真富道企業顧問行,FLAT/RM 2301 BLK B3-B4 NAN FUNG CENTRE TSUEN WAN NT,,18/9/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,W . T Capital (Asia) Limited ,宏泰資本(亞洲)有限公司,"FLAT 1503B,15/F,NAN FUNG CENTRE,264/298 CASTLE PEAK ROAD, TSUEN WAN HONG KONG",,12/10/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,3468 8550,HONG KONG CAPITAL RESOURCE CO. LIMITED,港基行(亞太)有限公司,FLAT/RM 1101 PENINSULA CENTRE 67 MODY ROAD TSIM SHA TSUI EAST KL,,14/11/2018
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,A&J Consultancy Limited ,焯鋒顧問有限公司,"RM 904, 9/F RIGHTEOUS CTR 585 NATHAN RD MONG KOK KL",,2/1/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,LEUNG HOU LUN,梁濠鳞,RM 1902 CHEUNG YUEN HSE CHUK YUEN NORTH EST WONG TAI SIN KOWLOON HONG KONG,,2/1/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,CHENG CHUN LUN,鄭振麟,FLAT E 6/F TOWER 4 YAU TONG CENTRE YAU TONG,,8/1/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,CHOI KA WAH ,蔡嘉華,RM 3206 CHOI LEUNG HSE CHOI TAK EST NGAU TAU KOK KL,,30/1/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,EIGHTY CONSULTANT CO,捌十顧問公司,FLAT/RM 1005 10/F KOWLOON BLDG 555 NATHAN RD YAU MA TEI,,30/1/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,TELEGOAL FINANCIAL CONSULTANCY COMPANY,富高金融策劃公司,FLAT/RM 2301 23/F FUTURA  PLAZA NO 111-113 HOW MING STREET KWUN TONG KL,,30/1/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,LEUNG KWOK FAI SIMON,梁國輝,FLAT A 53/F TOWER 3 PARK CENTRAL NO 9 TONG TAK STREET TSEUNG KWAN O NEW TERRITORIES,,31/1/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,S&Y Capital Company Limited ,信盈資本策劃有限公司,,香港九龍長沙灣永康街23-27號瓊林街62號安泰工業大廈A座5樓5A7室,4/2/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,LO SUK MAN,盧淑雯,"2/F, 205A SHUI TSIU SAN TSUEN TAI TONG YEUN LONG NEW TERRITORIES",,13/3/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,ROYAL WEALTH COMPANY,駿景匯公司,1/F WINNER MANSION 691A NATHAN ROAD MONGKOK KL,,19/3/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,YU KAI ON,余啟安,1/F NO 98 SAN HUI VILLAGE TUEN MUN NEW TERRITORIES,,22/3/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,PANDA INFORMATION LIMITED ,熊貓資訊有限公司,"RM 3205,CLIFFORD CENTRE,778-784 CHEUNG SHA WAN RD,CHEUNG SHA WAN,KOWLOON HK",,27/3/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,KO WAI LEUNG,高偉亮,FT 9 23/F KWONG YAU HSE KWONG FUK EST TAI PO NEW TERRITORIES,,16/4/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Plotio Advisory & Management Limited ,百利好諮詢管理有限公司,"RM 03-04, 16/F, TOWER 5 CHINA HONG KONG CITY, 33 CANTON RD, TST, HK",,29/4/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Gutsy Mortgage Accounting Affairs Limited ,吉時按揭會計事務所有限公司,FLAT/RM B25 5/F EAST SUN INDUSTRIAL BUILDING 20 SHING YIP STREET KWUN TONG KL,,29/4/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,CHEUNG KA LOK,張嘉洛,ROOM 2710 PING YEE HOUSE TAI PING ESTATE SHEUNG SHUI NEW TERRITORIES,,29/4/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,C & A CONSULTANT LIMITED ,智尚顧問有限公司,27/F WORLD WIDE HOUSE NO.19 DES VOEUX ROAD CENTRAL CENTRAL HK,,3/5/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Happy FullHouse Limited ,開心物業有限公司,"OFFICE NO. 4, 12/F WORKINGBERG COMM. BLDG 41-47 MARBLE ROAD, NORTH POINT HK",,8/5/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Money Easy Limited ,易享錢有限公司,,九龍旺角彌敦道721-725號華比銀行大廈5樓1室,8/5/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Brightness Knight Management Limited,,UNIT 05 - D 23/F WAH FAT IND BLDG 10-14 KUNG YIP ST KWAI CHUNG NT HONG KONG ,,8/5/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,TSANG KA MAN,曾嘉敏,,九龍九龍灣啟業道18號啟業村D座啟裕樓07樓11室,8/5/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,CHEUNG CHUN CHUEN,張進傳,,新界屯門友愛邨愛暉樓24樓01室,10/5/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Global World Capital Company Limited ,資本環球企業有限公司,"RM 2101, 21/F PARK-IN COMM CTR 56 DUNDAS ST MONG KOK KLN HONG KONG",,4/6/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,EASY ACCESS CORPORATION LIMITED ,通享有限公司,FLAT/RM 01 5/F BEVERLEY COMMERCIAL CENTRE 87-105 CHATHAM ROAD SOUTH TSIM SHA TSUI KL,,12/6/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,DELUXE ASIA COMPANY,,,九龍觀塘偉業街茂興工業大廈9樓B3室,18/6/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,LEADING GROUP DEVELOPMENT LIMITED ,領先集團發展有限公司,FLAT/RM 05 17/F WEALTH COMMERCIAL CENTRE 48 KWONG WA STREET MONG KOK KL,,20/6/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Man Chun Yu,萬振宇,,九龍油塘油麗邨頤麗樓205室,8/7/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,HOPEKINS INTERNATIONAL LIMITED ,鎬勤有限公司,"FLAT/RM A 12/F SOUTHGATE COMMERCIAL CENTRE 29 GRANVILLE ROAD TSIM SHA TSUI, KL",,5/8/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,SWISS TRADING LIMITED ,瑞新貿易有限公司,FLAT/RM C BLK 1 3/F THE ASTORIA KOWLOON CITY KL,,5/9/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,LAW YAT CHUK,羅逸足,"FLAT 419, 4/F, BLK 9, PO TIN EST, TUEN MUN, NT",,22/11/2019
As at 12:00 noon of 3 January 2022 ,3534,Goldmax Finance Limited,金溢財務有限公司,2736 7083,Wonder Mortgage Limited ,宏達轉按中心有限公司,,九龍旺角彌敦道518-520彌敦行12樓B室,26/11/2019
